"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"24","031",522809,,1970,,,,215494,33120,,32667,161366,724,1795,3185,2839,5289,12309,27632,19555,21937,37726,1083,1531,3423,2636,6748,16488,54901,28658,22128,12108,,,,
"24","033",660567,,1970,,,,269405,25681,,26702,200207,862,2711,5851,5727,9523,26460,48550,21885,15673,19575,927,2141,5077,4873,10561,30393,69209,20292,12782,6771,,,,
"51","013",174284,,1970,,,,82790,11991,,13688,71232,172,568,1269,1251,2104,4982,11354,6963,7725,11622,253,553,1227,1175,2880,7020,21310,10596,7703,3921,,,,
"51","043",8102,,1970,,,,3368,35,,883,3071,27,152,248,295,204,441,495,143,132,113,28,155,208,256,225,488,571,238,166,35,,,,
"51","047",18218,,1970,,,,6907,322,,2168,5860,107,599,577,603,472,816,968,322,204,131,103,282,727,455,524,1060,1244,540,244,83,,,,
"51","059",455021,,1970,,,,163556,14516,,13972,130787,427,1641,2664,2668,4542,11763,25637,16511,20422,26342,393,936,2176,2362,4704,14250,46318,22650,16294,6235,,,,
"51","061",26375,,1970,,,,9824,251,,2524,8437,266,631,839,871,472,927,1460,569,429,279,109,505,669,795,550,1313,2072,579,386,138,,,,
"51","107",37150,,1970,,,,14339,557,,2895,11381,116,618,906,858,533,1546,2495,1016,882,636,145,396,637,772,593,1731,3423,1344,731,186,,,,
"51","153",111102,,1970,,,,33533,2620,,2915,29885,219,800,1159,1270,1666,3745,8746,3123,2401,1706,183,366,694,1025,1413,4554,10456,3302,1609,447,,,,
"51","157",5199,,1970,,,,1867,0,,650,2024,111,297,246,163,156,200,159,50,15,42,45,230,237,161,123,236,275,149,28,6,,,,
"51","177",16424,,1970,,,,6078,0,,1397,5196,81,341,516,557,376,1005,915,199,158,116,37,196,407,495,322,1217,1258,273,166,28,,,,
"51","179",24587,,1970,,,,8188,297,,1453,7316,84,333,619,728,501,1273,1498,348,242,323,47,272,418,560,444,1378,1939,501,211,83,,,,
"51","187",15301,,1970,,,,6032,51,,1538,5992,117,353,497,478,375,928,1055,226,131,105,60,185,550,530,337,976,1472,408,138,32,,,,
"51","510",110938,,1970,,,,51779,4253,,7454,44424,156,929,1240,1095,1526,3949,6730,3914,4460,5547,180,663,1271,1004,1764,5153,11008,5259,3941,1712,,,,
"51","600",21970,,1970,,,,8384,923,,856,6263,5,67,183,100,260,600,1467,726,912,869,45,50,94,75,266,784,2467,963,649,210,,,,
"51","610",10772,,1970,,,,4734,479,,835,3762,16,86,63,66,127,366,660,474,434,553,10,32,85,48,169,455,1312,717,381,195,,,,
"51","630",14450,,1970,,,,6092,86,,1632,4813,55,201,352,219,178,633,810,231,265,458,46,193,457,288,248,734,1153,447,429,245,,,,
"54","037",21280,,1970,,,,8155,273,,1846,7411,124,458,584,369,745,942,1198,342,249,358,67,304,438,375,909,1181,1432,513,392,164,,,,
"11","001",638333,,1980,,,,298107,40559,,121551,276857,,,,,,,,,,,,,,,,,,,,,,,,
"24","009",34638,,1980,,,,14155,515,,4509,12571,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",72751,,1980,,,,30906,1441,,6329,22618,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",114792,,1980,,,,53434,1729,,16328,39491,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",579053,,1980,,,,299748,70128,,81834,216052,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",665071,,1980,,,,337142,40036,,58775,236363,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",152599,,1980,,,,85812,22337,,28741,75175,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",9965,,1980,,,,4472,183,,2124,3859,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",22620,,1980,,,,9678,328,,4547,8247,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",596901,,1980,,,,301034,54109,,43367,215671,,,,,,,,,,,,,,,,,,,,,,,,
